,norm_l1,norm_l2
count,59.0,59.0
mean,47690.296875,901.2865600585938
std,2885.90869140625,67.70258331298828
min,41431.34375,726.9281616210938
25%,46123.484375,864.2523193359375
50%,47180.8671875,894.9462890625
75%,49493.9765625,923.3749084472656
max,55669.015625,1082.0562744140625
